GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito,com.hubberspot.mockito.spies,BookManager,0,19,0,0,0,6,0,2,0,2
mockito,com.hubberspot.mockito.spies,BookService,5,16,0,0,1,4,1,2,1,2
mockito,com.hubberspot.mockito.spies,Book,76,28,12,0,16,12,13,5,7,5
mockito,com.hubberspot.mockito.stubbing,BookRequest,12,21,0,0,6,8,3,4,3,4
mockito,com.hubberspot.mockito.stubbing,BookService,32,62,2,4,7,19,2,6,1,4
mockito,com.hubberspot.mockito.stubbing,Book,38,66,6,6,8,20,11,7,5,7
mockito,com.hubberspot.mockito.test_doubles.stub,Book,21,22,0,0,9,9,6,3,6,3
mockito,com.hubberspot.mockito.test_doubles.stub,BookService,0,38,0,2,0,10,0,3,0,2
mockito,com.hubberspot.mockito.test_doubles.fake,BookService,0,16,0,0,0,6,0,3,0,3
mockito,com.hubberspot.mockito.test_doubles.fake,Book,25,18,0,0,11,7,7,2,7,2
mockito,com.hubberspot.mockito.test_doubles.mock,BookService,0,16,0,2,0,7,0,3,0,2
mockito,com.hubberspot.mockito.test_doubles.mock,Book,25,18,0,0,11,7,7,2,7,2
mockito,com.hubberspot.mockito.exception_handling,DatabaseWriteException,0,4,0,0,0,2,0,1,0,1
mockito,com.hubberspot.mockito.exception_handling,BookRequest,33,0,0,0,14,0,7,0,7,0
mockito,com.hubberspot.mockito.exception_handling,BookService,31,36,2,0,10,8,1,3,0,3
mockito,com.hubberspot.mockito.exception_handling,DatabaseReadException,0,4,0,0,0,2,0,1,0,1
mockito,com.hubberspot.mockito.exception_handling,Book,89,15,12,0,22,6,17,1,11,1
mockito,com.hubberspot.mockito.test_doubles.spy,Book,25,18,0,0,11,7,7,2,7,2
mockito,com.hubberspot.mockito.test_doubles.spy,BookService,0,16,0,2,0,7,0,3,0,2
mockito,com.hubberspot.mockito.argument_matchers,BookRequest,33,0,0,0,14,0,7,0,7,0
mockito,com.hubberspot.mockito.argument_matchers,BookService,42,31,4,0,13,10,5,4,3,4
mockito,com.hubberspot.mockito.argument_matchers,Book,74,55,6,6,24,14,17,4,11,4
mockito,com.hubberspot.mockito.test_doubles.dummy,Book,25,18,0,0,11,7,7,2,7,2
mockito,com.hubberspot.mockito.test_doubles.dummy,BookService,0,19,0,0,0,7,0,3,0,3
mockito,com.hubberspot.mockito.bdd.behavior_verification,BookService,0,19,0,0,0,7,0,2,0,2
mockito,com.hubberspot.mockito.bdd.behavior_verification,Book,85,19,12,0,20,8,16,2,10,2
mockito,com.hubberspot.mockito.annotations.support,Book,21,22,0,0,9,9,6,3,6,3
mockito,com.hubberspot.mockito.annotations.support,BookService,0,38,0,2,0,10,0,3,0,2
mockito,com.hubberspot.mockito.behavior.verification,BookService,1,54,1,3,1,18,1,5,0,4
mockito,com.hubberspot.mockito.behavior.verification,BookRequest,12,21,0,0,6,8,3,4,3,4
mockito,com.hubberspot.mockito.behavior.verification,Book,38,66,6,6,8,20,11,7,5,7
mockito,com.hubberspot.mockito.bdd.stubbing,Book,21,22,0,0,9,9,6,3,6,3
mockito,com.hubberspot.mockito.bdd.stubbing,BookService,0,38,0,2,0,10,0,3,0,2
mockito,com.hubberspot.mockito.argument_captor,Book,86,18,12,0,19,9,13,5,7,5
mockito,com.hubberspot.mockito.argument_captor,BookRequest,12,21,0,0,6,8,3,4,3,4
mockito,com.hubberspot.mockito.argument_captor,BookService,26,27,4,0,10,9,4,2,2,2
